"SPECCD_ID","SCIENTIFIC","COMMON","MARFIS_CODE"
708,"POLYIPNUS ASTEROIDES","POLYIPNUS ASTEROIDES",NA
709,"STERNOPTYX DIAPHANA","TRANSPARENT HATCHETFISH",NA
710,"ALEPISAURUS FEROX","LONGNOSE LANCETFISH",NA
711,"PARALEPIS ATLANTICA","SHORT BARRACUDINA",NA
712,"NOTOLEPIS RISSOI","WHITE BARRACUDINA",NA
713,"PARALEPIDIDAE F.","BARRACUDINA,UNIDENTIFIED",NA
714,"BENTHODESMUS SIMONYI","SIMONYI'S FROSTFISH",NA
715,"SERRANIDAE F.","SEA BASSES",NA
716,"BOROSTOMIAS ANTARCTICUS","STRAIGHTLINE DRAGONFISH",NA
717,"GRAMMATOSTOMIAS DENTATUS","TORPEDO DRAGONFISH",NA
718,"MELANOSTOMIAS SPILORHYNCHUS","BLUENOSE DRAGONFISH",NA
719,"ODONTOSTOMIAS SP.","ODONTOSTOMIAS SP.",NA
720,"SCOMBERESOX SAURUS","ATLANTIC SAURY,NEEDLEFISH",NA
721,"TRIGONOLAMPA MIRICEPS","THREELIGHT DRAGONFISH",NA
722,"BATHOPHILUS METALLICUS","BATHOPHILUS METALLICUS",NA
723,"IDIACANTHUS FASCIOLA","RIBBON SAWTAILFISH",NA
724,"ALEPOCEPHALUS BAIRDII","BAIRDS SMOOTHEAD",NA
725,"XENODERMICHTHYS COPEI","ATLANTIC GYMNAST",NA
726,"MENTODUS ROSTRATUS","MENTODUS ROSTRATUS",NA
727,"NOTOLEPIS RISSOI","WHITE BARRACUDINA",NA
728,"PARALEPIS ATLANTICA ATLANTICA","SHORT BARRACUDINA",NA
729,"OMOSUDIS LOWEI","OMOSUDIS LOWEI",NA
730,"MOLA MOLA","OCEAN SUNFISH",NA
731,"ALEPISAURUS BREVIROSTRIS","SHORTNOSE LANCETFISH",NA
732,"ANOTOPTERUS PHARAO","DAGGERTOOTH",NA
733,"EVERMANNELLA SP.","EVERMANNELLA SP.",NA
734,"CYPSELURUS FURCATUS","SPOTFIN FLYINGFISH",NA
735,"CYPSELURUS HETERURUS","ATLANTIC FLYINGFISH",NA
736,"HIRUNDICHTHYS RONDELETTI","BLACKWING FLYINGFISH",NA
737,"HYPORHAMPHUS SP.","COMMON HALFBEAK",NA
738,"FUNDULUS DIAPHANUS","BANDED KILLIFISH",NA
739,"POLYACANTHONOTUS RISSOANUS","SHORTSPINE TAPIRFISH",NA
740,"NOTACANTHUS CHEMNITZII","SPINY EEL",NA
741,"STERNOPTYCHIDAE F.","HATCHETFISH",NA
742,"DIBRANCHUS ATLANTICUS","ATLANTIC BATFISH",NA
743,"HYPEROGLYPHE PERCIFORMIS","AMERICAN BARRELFISH",NA
744,"POLYMIXIA NOBILIS","STOUT BEARD FISH",NA
745,"GONOSTOMATIDAE F. (NS)","ANGLEMOUTH",NA
746,"SPHOEROIDES MACULATUS","NORTHERN PUFFER",NA
747,"CORYPHAENA HIPPURUS","DOLPHIN(COMMON)",NA
748,"EXOCOETIDAE F.","FLYING FISH(UNIDENTIFIED)",NA
749,"CONOCARA SALMONEA","SLICKHEAD",NA
750,"HOWELLA BRODIEI","CARDINALFISH",NA
751,"PONTINUS RATHBUNI","HIGHFIN SCORPIONFISH",NA
752,"POLLICHTHYS MAULI","MAULS ANGLEMOUTH",NA
753,"CYCLOTHONE ALBA","ALBINO ANGLEMOUTH",NA
754,"CYCLOTHONE BRAUERI","BRAUERS ANGLEMOUTH",NA
755,"CYCLOTHONE SP.","ANGLEMOUTH (NS)",NA
756,"STOMIAS SP.","DRAGONFISH UNIDENTIFIED",NA
757,"PHYSICULUS FULVUS","LITTLE MORID",NA
758,"LOBIANCHIA DOFLEINI","DOFLEINS LANTERNFISH",NA
759,"SYNGNATHUS SP.","PIPEFISH UNIDEN.",NA
760,"MELANOCETUS JOHNSONI","MELANOCETUS JOHNSONI",NA
761,"CHAENOPHRYNE LONGICEPS","CHAENOPHRYNE LONGICEPS",NA
762,"DOLOPICHTHYS ALLECTOR","DOLOPICHTHYS ALLECTOR",NA
763,"LASIOGNATHUS BEEBEI","LASIOGNATHUS BEEBEI",NA
764,"LEPTACANTHICHTHYS GRACILISPINIS","LEPTACANTHICHTHYS GRACILI",NA
765,"LOPHODOLUS ACANTHOGNATHUS","LOPHODOLUS ACANTHOGNATUS",NA
766,"MICROLOPHICHTHYS MICROLOPHUS","MICROLOPHICHTHYS MICROLOP",NA
767,"ONEIRODES ESCHRICHTII","ONEIRODES ESCHRICHTII",NA
768,"ONEIRODES SP.","ONEIRODES SP.",NA
769,"FUNDULUS HETEROCLITUS","MUMMICHOG",NA
770,"MENIDIA MENIDIA","ATLANTIC SILVERSIDE",364
771,"POLYMIXIA LOWEI","BEARDFISH",NA
772,"DIRETMUS ARGENTEUS","SPINYFIN",NA
773,"GEPHYROBERYX DARWINI","GEPHYROBERYX DARWINI",NA
774,"ANOPLOGASTER CORNUTA","OGREFISH",NA
